comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 12,W 2–0,a2d435b3,5bfb9659,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,3,0,0,0,2022-10-20,6356af5a
Premier League,Matchweek 13,W 4–0,a2d435b3,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-23,8774e664
Premier League,Matchweek 14,L 0–1,a2d435b3,b8fd03ef,0,20,0,0,0,0,2,1,0,0,10,0,0,1,0.2,0.2,0.1,2,0,5,6,83.3,2,7,1,1,0,2022-10-29,96b9ae4e
Premier League,Matchweek 15,W 2–0,a2d435b3,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-11-05,831c73fc
Premier League,Matchweek 16,W 2–0,a2d435b3,7c21e445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-11-12,6e89557a
Premier League,Matchweek 17,L 0–3,a2d435b3,b2b47a98,0,20,0,0,0,0,2,0,0,0,15,0,0,0,0.1,0.1,0.0,1,0,10,12,83.3,0,11,0,2,1,2022-12-26,8e186153
Premier League,Matchweek 18,L 1–2,a2d435b3,822bd0ba,0,20,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,7,1,3,0,2022-12-30,c5e4ccf5
Premier League,Matchweek 19,L 0–1,a2d435b3,fd962109,0,19,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.1,1,0,3,4,75.0,0,1,0,0,0,2023-01-03,12e0894b
Premier League,Matchweek 20,L 0–2,a2d435b3,e4a775cb,0,23,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,8,9,88.9,0,3,0,0,0,2023-01-14,95d3b457
Premier League,Matchweek 21,D 2–2,a2d435b3,d07537b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-21,bcbbc55f
Premier League,Matchweek 22,W 4–2,a2d435b3,8602292d,1,66,1,2,0,0,2,1,0,0,20,1,0,1,0.9,0.9,1.3,2,2,9,12,75.0,4,14,2,0,0,2023-02-04,76a2a22c
Premier League,Matchweek 23,W 4–1,a2d435b3,361ca564,1,76,1,1,0,0,4,2,0,0,33,3,0,0,0.5,0.5,0.3,2,1,15,24,62.5,1,20,4,3,3,2023-02-11,390c7b85
Premier League,Matchweek 24,L 0–3,a2d435b3,19538871,1,74,0,0,0,0,4,1,0,0,29,0,0,0,0.3,0.3,0.6,4,0,10,14,71.4,2,15,2,3,2,2023-02-19,d6e88163
Premier League,Matchweek 25,L 0–1,a2d435b3,18bb7c10,1,61,0,0,0,0,0,0,0,0,23,0,0,2,0.0,0.0,0.0,0,0,7,12,58.3,3,15,1,3,2,2023-02-25,145cc0a5
Premier League,Matchweek 26,L 0–1,a2d435b3,33c895d4,1,90,0,0,0,0,5,0,0,0,46,1,0,0,1.1,1.1,0.0,0,0,21,33,63.6,2,29,3,3,0,2023-03-04,4d14422c
Premier League,Matchweek 27,L 1–3,a2d435b3,cff3d9bb,1,75,0,0,0,0,1,1,0,0,37,1,0,0,0.1,0.1,0.1,5,0,22,26,84.6,2,24,2,6,4,2023-03-11,bd5571a1
Premier League,Matchweek 28,D 1–1,a2d435b3,cd051869,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,1,0,2023-03-18,7647948e
Premier League,Matchweek 29,L 1–2,a2d435b3,47c64c55,0,19,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,1,0,2023-04-01,ee1878a0
Premier League,Matchweek 7,L 1–2,a2d435b3,8602292d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-04,f213214b
Premier League,Matchweek 30,L 0–1,a2d435b3,4ba7cbea,0,33,0,0,0,0,1,1,0,0,15,0,0,0,0.1,0.1,0.0,1,0,5,11,45.5,1,11,1,0,0,2023-04-08,72ca7930
Premier League,Matchweek 31,L 1–3,a2d435b3,b8fd03ef,0,45,1,0,0,0,3,1,0,0,9,0,0,0,1.2,1.2,0.0,1,0,5,6,83.3,0,4,1,1,1,2023-04-15,ce8df388
Premier League,Matchweek 32,W 2–1,a2d435b3,8cec06e1,1,84,1,0,1,1,2,1,0,0,26,1,0,1,0.8,0.1,0.0,6,1,14,17,82.4,4,20,4,2,2,2023-04-22,b87e66b4
Premier League,Matchweek 33,D 1–1,a2d435b3,5bfb9659,1,81,0,0,0,0,2,2,0,0,25,0,0,0,0.4,0.4,0.6,4,0,9,17,52.9,1,13,2,2,2,2023-04-25,56c70cf7
Premier League,Matchweek 37,D 0–0,a2d435b3,b2b47a98,1,45,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,5,6,83.3,0,6,0,0,0,2023-05-22,807863d8
Premier League,Matchweek 38,W 2–1,a2d435b3,7c21e445,1,76,0,1,0,0,2,0,0,0,41,0,0,2,0.2,0.2,0.5,5,1,31,32,96.9,3,30,2,3,1,2023-05-28,a96c9915
